year_decimal	gt	gt_err	year	month	eqe	eqe_err	eqe_min	eqe_max
1996.875	0.00889830036056	0.0270430041556	1996	11	2.720085663191682e+20	9.582749727140178e+19	1.92567317842029e+20	3.842223123848325e+20
1996.9583333333335	-0.0197278457076	0.0265558735222	1996	12	2.1204833290069012e+19	7.470375406708036e+18	1.5011872336272757e+19	2.9952623149688828e+19
1997.0416666666667	-0.13863014479	0.0272896983366	1997	1	1.1924354052777838e+20	4.20090080587759e+19	8.441796183167962e+19	1.684359779492314e+20
1997.125	-0.0806023187599	0.0274313370215	1997	2	4.689017489919125e+19	1.6519215435058713e+19	3.319570164891748e+19	6.6234132519034905e+19
1997.2083333333335	0.0531505702832	0.027398645728	1997	3	3.818382931264473e+19	1.345200575402348e+19	2.703208099353039e+19	5.393609250157735e+19
1997.2916666666667	0.0350768633676	0.0274583703062	1997	4	4.778884254410343e+20	1.683581234395792e+20	3.383190961969521e+20	6.750353430761105e+20
1997.375	-0.0244281073763	0.0273541991957	1997	5	2.4896255226220367e+20	8.770848146596212e+19	1.7625198934354326e+20	3.516689522754675e+20
1997.4583333333335	0.198550163104	0.0275015996556	1997	6	7.079457843841402e+18	2.494063831863622e+18	5.011872336272756e+18	1e+19
1997.5416666666667	0.0123577358073	0.0276797661851	1997	7	7.632028177497827e+19	2.688732083886942e+19	5.403062174560559e+19	1.0780526342334443e+20
1997.625	0.0539400146566	0.0277473183283	1997	8	5.040190167648121e+21	1.7756382310802603e+21	3.5681813816808807e+21	7.1194578438414e+21
1997.7083333333335	0.120238025648	0.0278655491961	1997	9	6.8089075612022374e+19	2.3987500819247542e+19	4.820337404214421e+19	9.61783756806393e+19
1997.7916666666667	0.225058922758	0.0279348376578	1997	10	7.505050673621054e+20	2.6439984324033466e+20	5.3131689859793774e+20	1.060116585078607e+21
1997.875	0.269291911655	0.0276842743773	1997	11	2.1537949414530364e+20	7.587730844957037e+19	1.5247700492295632e+20	3.0423162182209706e+20
1997.9583333333335	0.181727838504	0.0282184567249	1997	12	2.271853177089079e+21	8.003645145244372e+20	1.608348879459927e+21	3.209077908508801e+21
1998.0416666666667	0.102330992291	0.0281728760627	1998	1	1.932173957756154e+20	6.8069692499131154e+19	1.3678744080902881e+20	2.7292682580729112e+20
1998.125	0.339197703625	0.0279547585572	1998	2	2.8284291133910417e+19	9.96443923857166e+18	2.0023744672545513e+19	3.995262314968883e+19
1998.2083333333335	0.16205251063	0.0282701088527	1998	3	7.113168524454568e+20	2.5059399657596948e+20	5.035737670501565e+20	1.0047617602020955e+21
1998.2916666666667	0.25455484649	0.0273306840222	1998	4	3.818382931264473e+19	1.345200575402348e+19	2.703208099353039e+19	5.393609250157735e+19
1998.375	0.305491642588	0.0266524808781	1998	5	2.990880241630096e+20	1.0536747870565148e+20	2.1173810586598454e+20	4.224730632772875e+20
1998.4583333333335	0.315311098815	0.0266738200236	1998	6	2.1204833290069012e+19	7.470375406708036e+18	1.5011872336272757e+19	2.9952623149688828e+19
1998.5416666666667	0.321892570371	0.0267562005466	1998	7	1.1488472126718583e+20	4.047341399108423e+19	8.133215411125119e+19	1.6227898209341964e+20
1998.625	0.28743842661	0.0269397755645	1998	8	7.035950796526251e+19	2.4787364783383437e+19	4.981071705534985e+19	9.938544662211672e+19
1998.7083333333335	0.0536335997814	0.0269498895121	1998	9	3.703208099353023e+19	1.3046249566265225e+19	2.621670562634177e+19	5.230920475887222e+19
1998.7916666666667	0.0366120822627	0.0270471769547	1998	10	1e+19	3.5229588011930476e+18	7.079457843841402e+18	1.4125375446227497e+19
1998.875	0.0293069157349	0.0269364122586	1998	11	4.864943092063151e+20	1.713899408348732e+20	3.4441159532948265e+20	6.871914769992291e+20
1998.9583333333335	0.179854277083	0.0269711475788	1998	12	2.703208099353023e+19	9.523290765072177e+18	1.913724778250037e+19	3.818382931264473e+19
1999.0416666666667	-0.0294639580908	0.0245427142178	1999	1	4.981071705534985e+19	1.754811040438814e+19	3.5263287156486124e+19	7.03595079652624e+19
1999.125	0.194415558345	0.0241091742796	1999	2	1.1220184543019652e+20	3.952824788684193e+19	7.943282347242853e+19	1.584893192461124e+20
1999.2083333333335	-0.13234088053	0.0260002361545	1999	3	8.971596335472751e+19	3.160656427080525e+19	6.351403804894134e+19	1.2672716659055185e+20
1999.2916666666667	-0.0556471121616	0.0267120979403	1999	4	2.6170815590836634e+20	9.219870512013836e+19	1.852751857142753e+20	3.69672595954552e+20
1999.375	-0.0941254662214	0.0270336884761	1999	5	9.604484957438476e+19	3.3836204811734114e+19	6.799454636799458e+19	1.356669559914628e+20
1999.4583333333335	0.0132666707161	0.0272341098653	1999	6	2.8183829312644723e+19	9.929046952830431e+18	1.9952623149688988e+19	3.981071705534985e+19
1999.5416666666667	0.00379846390945	0.0273254022259	1999	7	1.4125375446227612e+19	4.976311574844414e+18	1e+19	1.9952623149688828e+19
1999.625	-0.0629773601098	0.0272880069455	1999	8	1.444446812033814e+21	5.088726609309765e+20	1.022590031346449e+21	2.040335353208402e+21
1999.7083333333335	0.0231952470524	0.0272732493356	1999	9	3.8236143310294706e+20	1.347043575986814e+20	2.7069116467630984e+20	5.4009987987367264e+20
1999.7916666666667	-0.0490975536787	0.0273213096324	1999	10	5.6234132519034905e+19	1.981105320853902e+19	3.981071705534985e+19	7.94328234724279e+19
1999.875	-0.0260449727789	0.0274375786192	1999	11	2.2083548944732724e+20	7.779943311642404e+19	1.5633955379664313e+20	3.119384200294912e+20
1999.9583333333335	0.0638548240347	0.0275076428688	1999	12	1.3838759457471227e+20	4.875337942829179e+19	9.797091419022908e+19	1.9547767304681266e+20
2000.0416666666667	-0.165074381437	0.0277236703798	2000	1	1.0646490446595876e+20	3.750714722065298e+19	7.537138030153528e+19	1.5038567474284125e+20
2000.125	0.120620967241	0.0276242214483	2000	2	4.981071705534985e+19	1.754811040438814e+19	3.5263287156486124e+19	7.03595079652624e+19
2000.2083333333335	0.0549099437389	0.028088226456	2000	3	3.2330722386067934e+20	1.1389980297892713e+20	2.2888398619310742e+20	4.566835921509617e+20
2000.2916666666667	0.132418223596	0.0284832791968	2000	4	7.96214341106997e+19	2.805030320639018e+19	5.6367658625289445e+19	1.1246826503806981e+20
2000.375	-0.0552291560392	0.02857985667	2000	5	2.147234517651473e+20	7.564618742185764e+19	1.520125624855473e+20	3.033049373292626e+20
2000.4583333333335	0.0231829196767	0.0284584757708	2000	6	7.841161914578722e+20	2.7624090378544965e+20	5.551117522099453e+20	1.1075935597808446e+21
2000.5416666666667	0.0172981790044	0.0280533764534	2000	7	2.70794578438414e+19	9.539981434249718e+18	1.917078802395556e+19	3.825075089245499e+19
2000.625	0.0557848937954	0.0280153580008	2000	8	1.7048613656410692e+20	6.0061563528992735e+19	1.2069494167649826e+20	2.408180687344837e+20
2000.7083333333335	0.0337619304273	0.0278284685998	2000	9	3.548133892335761	0.0	0.0	0.0
2000.7916666666667	-0.101901708329	0.0278370634738	2000	10	6.8189537433288065e+19	2.402289310498877e+19	4.827449556500074e+19	9.632028177497827e+19
2000.875	-0.0474789796404	0.028053840693	2000	11	6.480625505240488e+20	2.2830976660923204e+20	4.5879315066073416e+20	9.154126838791981e+20
2000.9583333333335	-0.130052223083	0.0286851693594	2000	12	5.396963274303265e+19	1.9013279266922336e+19	3.820757398519023e+19	7.623413251903491e+19
2001.0416666666667	0.0340203709083	0.0280947726059	2001	1	9.152680594108455e+20	3.2244516653523226e+20	6.479601642413608e+20	1.2928504973118252e+21
