gt_interval_count	gtdt	gtdt_err	eqe_tot	eqe_min_tot	eqe_max_tot	eqedt	eqedt_min	eqedt_max
2	-0.054123733117299996	0.0223045722029	8.743896580910391e+19	6.1902047235464e+19	1.2351082206834423e+20	8.113053824638204e+19	-4.172752296537719e+18	1.762087061213481e+20
1	-0.109061384394	0.0222870176338	4.2309204758872334e+19	2.9952623149688988e+19	5.976334020503868e+19	4.512976105023158e+19	2.1387070304253215e+18	9.355819891865525e+19
1	0.204609564914	0.0221193087538	2.147234517651473e+20	1.520125624855473e+20	3.033049373292626e+20	-1.7241424700627498e+20	-2.733523141795736e+20	-9.224922228050862e+19
3	0.1563193830629	0.0231696728901	6.494273882831824e+20	4.597593817986796e+20	9.173405684562927e+20	-4.347039365180351e+20	-7.653280059707454e+20	-1.5645444446941702e+20
1	0.0597347842033	0.0233822370533	1.1067119700395273e+20	7.834920737169457e+19	1.5632722087642402e+20	5.387561912792296e+20	3.034321609222556e+20	8.389913610845981e+20
2	-0.255848333986	0.0234674187768	8.514092579164648e+19	6.027515949275888e+19	1.2026475426464006e+20	2.553027121230625e+19	-4.191554689294549e+19	9.605206138366514e+19
1	0.0168661510458	0.0235296536594	6.684279804888008e+19	4.7321077095145095e+19	9.441796183167962e+19	1.82981277427664e+19	-3.4142802338920743e+19	7.294367716949497e+19
3	-0.11869713617593	0.0227918956419	3.7769828302072735e+20	2.673899072336516e+20	5.335130053063269e+20	-3.1085548497184725e+20	-4.861919282111818e+20	-1.7297194540197197e+20
1	0.00584847648528	0.0227508912968	4.689017489919125e+19	3.319570164891748e+19	6.6234132519034905e+19	3.308081081215361e+20	2.0115577471461668e+20	5.003173036574094e+20
1	-0.134913117116	0.022853447988	1.70794578438414e+19	1.2091330180114158e+19	2.4125375446227497e+19	2.981071705534985e+19	9.070326202689982e+18	5.414280233892074e+19
1	0.0949361716907	0.0235434876527	1.4038567474284125e+20	9.938544662211753e+19	1.9830003630146224e+20	-1.2330621689899984e+20	-1.862087061213481e+20	-7.526007117589003e+19
1	0.0549683897947	0.0235261030354	1.0207254496391102e+20	7.226182790856132e+19	1.441813020367183e+20	3.831312977893022e+19	-4.479585541460078e+19	1.2603820839290092e+20
2	0.245825635565	0.0233609357817	3.308544505954754e+20	2.342270135437976e+20	4.673443332716419e+20	-2.287819056315644e+20	-3.9508250536308054e+20	-9.004571150707928e+19
3	-0.06400737055061	0.0232863718015	1.67005315387787e+20	1.1823070899852703e+20	2.3590127813681257e+20	1.6384913520768844e+20	-1.6742645930149806e+18	3.491136242731149e+20
1	-0.0826025009404	0.023743801402	8.618675566872373e+19	6.101555034541887e+19	1.2174202823130012e+20	8.081855971906326e+19	-3.5113192327730954e+18	1.748857277913937e+20
1	-0.0838229661148	0.0241183197844	2.9426516206355238e+20	2.0832378097400775e+20	4.1566058948926584e+20	-2.0807840639482865e+20	-3.5464503914384694e+20	-8.658175274270763e+19
1	-0.000716589147648	0.0242294839679	1.4125375446227612e+19	1e+19	1.9952623149688828e+19	2.8013978661732477e+20	1.8837115782431893e+20	4.0566058948926584e+20
3	-0.2798397550888	0.0231241545341	1.7095300385804527e+20	1.2102545840910855e+20	2.4147753631552674e+20	-1.5682762841181766e+20	-2.3147753631552674e+20	-1.0107283525941972e+20
1	-0.0751585780672	0.0224567571079	2.947589763208512e+20	2.0867337469573077e+20	4.163581206677717e+20	-1.2380597246280594e+20	-2.9533266225866316e+20	3.280416161979597e+19
2	-0.428617450183	0.0224966901349	1.7594510478869846e+20	1.2455959521818396e+20	2.4852906630662056e+20	1.1881387153215275e+20	-3.985569161088978e+19	2.9179852544958772e+20
1	-0.300556614875	0.0226738237067	1.8856950405548596e+20	1.3349698545948931e+20	2.6636150424926706e+20	-1.2624399266787492e+19	-1.418019090310831e+20	1.1503208084713125e+20
1	-0.399046036146	0.0226706194529	2.8250750892455223e+19	2e+19	3.9905246299377656e+19	1.6031875316303072e+20	9.359173916011164e+19	2.4636150424926706e+20
1	-0.304862506255	0.0229822360805	1.9393741051651788e+20	1.3729717220954479e+20	2.739438736614966e+20	-1.6568665962406265e+20	-2.539438736614966e+20	-9.739192591016713e+19
1	-0.378878583791	0.0227406463104	2.41589156876828e+19	1.7103202516386914e+19	3.4125375446227497e+19	1.6977849482883508e+20	1.0317179676331729e+20	2.568406711451097e+20
2	-0.2645224011571	0.0235428275145	4.627209410682096e+20	3.2758133957550106e+20	6.536107019420168e+20	-4.385620253805268e+20	-6.365074994256299e+20	-2.9345596412927358e+20
1	-0.0950861037757	0.0236848115411	1e+19	7.079457843841402e+18	1.4125375446227497e+19	4.527209410682096e+20	3.134559641292736e+20	6.465312440981754e+20
1	-0.0848974408615	0.0247660864117	8.035950796526251e+19	5.689017489919125e+19	1.1351082206834423e+20	-7.035950796526251e+19	-1.0643136422450282e+20	-4.276479945296375e+19
1	-0.140981198669	0.0256744430522	4.813645246233355e+19	3.40779985959166e+19	6.799454636799458e+19	3.222305550292896e+19	-1.1104371468803326e+19	7.943282347242763e+19
1	-0.120966129636	0.0258077555614	1.577105097227221e+20	1.1165049051127505e+20	2.227720161649366e+20	-1.0957405726038855e+20	-1.8869401756902002e+20	-4.365594414328047e+19
3	-0.522559629676	0.02563277418	5.4141865034074515e+20	3.832950510956813e+20	7.647741709652807e+20	-3.8370814061802304e+20	-6.531236804540056e+20	-1.6052303493074466e+20
2	-0.391451335079	0.0261072342565	1.846682785081028e+20	1.3073512927928708e+20	2.608508766935461e+20	3.5675037183264234e+20	1.2244417440213516e+20	6.340390416859936e+20
1	-0.286506301809	0.0262744954847	3.981071705534985e+19	2.8183829312644723e+19	5.6234132519034905e+19	1.4485756145275296e+20	7.450099676025219e+19	2.326670473809014e+20
2	-0.422820418759	0.0286293718518	1.1207254496391102e+20	7.934128575240272e+19	1.583066774829458e+20	-7.2261827908561175e+19	-1.3012284817030108e+20	-2.310715323336782e+19
1	-0.430023946712	0.0286272937128	7.799454636799458e+19	5.521591030617511e+19	1.1017022502061225e+20	3.4077998595916448e+19	-3.0828939268209525e+19	1.030907671767707e+20
4	-0.26511238418030003	0.0282814218959	4.470068908290071e+21	3.164566439530571e+21	6.314140160010589e+21	-4.392074361922076e+21	-6.258924249704414e+21	-3.054396214509959e+21
2	-0.359156273331	0.0283554562074	2.1546805894276166e+20	1.5253970399796157e+20	3.0435672292364e+20	4.254600849347309e+21	2.860209716606931e+21	6.161600456012627e+21
2	0.042288093515499996	0.0281732502862	2.6983853182932474e+21	1.9103105107297603e+21	3.8115705719480496e+21	-2.4829172593504855e+21	-3.659030867950088e+21	-1.6059537878061204e+21
2	-0.0495453206877	0.0278092300693	5.148121405816807e+20	3.6445908467457366e+20	7.271914769992291e+20	2.1835731777115668e+21	1.1831190337305313e+21	3.447111487273476e+21
2	0.251134953261	0.0265957242223	1.3035683609782143e+20	9.228557258110684e+19	1.8413392518640714e+20	3.844553044838593e+20	1.8032515948816653e+20	6.349059044181224e+20
1	-0.0136499873528	0.026547629704	1.9952623149688828e+19	1.4125375446227612e+19	2.8183829312644723e+19	1.104042129481326e+20	6.410174326846212e+19	1.7000854974017952e+20
1	0.0831038042191	0.0260412638901	2.8005366050144394e+20	1.9826280835334426e+20	3.955863099673227e+20	-2.6010103735175512e+20	-3.8146093452109506e+20	-1.7007897904069955e+20
1	-0.101139400062	0.0266191756527	2.535769037408779e+20	1.7951870002053726e+20	3.581868969831803e+20	2.647675676056604e+19	-1.5992408862983605e+20	2.160676099467854e+20
2	0.249586786273	0.0268136245887	1.423593690302274e+21	1.0078271517253556e+21	2.0108795358400138e+21	-1.1700167865613961e+21	-1.8313608358194766e+21	-6.496402547421753e+20
2	-0.0036993643971999987	0.0269143886247	6.416224147859379e+20	4.542338837140765e+20	9.063157503566483e+20	7.819712755163361e+20	1.0151140136870727e+20	1.5566456521259373e+21
